,Unnamed: 0,Operateur,X,Y,2G,3G,4G
41319,41319,Orange,696799.0,7056301.0,0,1,1
41320,41320,Bouygue,696801.0,6173030.0,1,1,1
41321,41321,SFR,696806.0,6173027.0,1,1,1
41322,41322,Orange,696817.0,6810538.0,1,1,1
41323,41323,Orange,696849.0,7054955.0,1,1,1
41324,41324,Bouygue,696855.0,6937407.0,1,0,0
41325,41325,SFR,696864.0,7054955.0,1,1,1
41326,41326,Free,696865.0,7054956.0,0,1,1
41327,41327,Bouygue,696867.0,7054973.0,1,1,1
41328,41328,Bouygue,696897.0,7021700.0,1,1,1
41329,41329,Orange,696925.0,6172796.0,1,1,1
41330,41330,SFR,696933.0,6856043.0,1,1,1
41331,41331,Orange,696935.0,7071068.0,1,1,1
41332,41332,Orange,696955.0,6881983.0,1,0,1
41333,41333,SFR,696955.0,7020906.0,1,0,0
41334,41334,SFR,696955.0,7034870.0,1,1,1
41335,41335,Free,696955.0,7034872.0,0,1,1
41336,41336,Orange,696958.0,7034872.0,0,1,1
41337,41337,Bouygue,696961.0,6856036.0,1,1,1
41338,41338,Bouygue,696964.0,7034872.0,1,1,1
41339,41339,Bouygue,696966.0,6243802.0,1,1,1
41340,41340,SFR,696966.0,6243802.0,1,1,1
41341,41341,Orange,696967.0,6243808.0,1,1,1
41342,41342,Orange,696972.0,6170059.0,1,1,0
41343,41343,Bouygue,696973.0,6882022.0,1,1,0
41344,41344,Free,696973.0,6882023.0,0,1,1
41345,41345,Free,696976.0,6172862.0,0,1,1
41346,41346,SFR,696983.0,6842927.0,1,1,1
41347,41347,Bouygue,696986.0,6842967.0,1,1,1
41348,41348,Free,696988.0,6842955.0,0,1,1
41349,41349,Free,696993.0,6797929.0,0,1,1
41350,41350,Orange,696997.0,7011003.0,1,1,1
41351,41351,Bouygue,696999.0,6165956.0,1,1,1
41352,41352,Free,696999.0,6165957.0,0,1,1
41353,41353,SFR,697000.0,6165954.0,1,1,1
41354,41354,Free,697000.0,6243766.0,0,1,1
41355,41355,Bouygue,697001.0,6797955.0,1,1,1
41356,41356,SFR,697009.0,6797928.0,1,1,1
41357,41357,Free,697015.0,6637144.0,0,1,1
41358,41358,Orange,697021.0,6808747.0,1,1,1
41359,41359,Free,697049.0,7036171.0,0,1,1
41360,41360,Bouygue,697049.0,7036172.0,0,1,1
41361,41361,Orange,697065.0,6689620.0,1,1,1
41362,41362,SFR,697065.0,6689640.0,1,1,1
41363,41363,Bouygue,697067.0,6689632.0,1,1,1
41364,41364,SFR,697070.0,6213667.0,1,1,1
41365,41365,Free,697071.0,6213668.0,0,1,1
41366,41366,Orange,697092.0,7034006.0,1,1,0
41367,41367,Bouygue,697127.0,6250739.0,1,1,1
41368,41368,SFR,697127.0,6250739.0,1,1,1
41369,41369,Orange,697144.0,7035821.0,0,1,1
41370,41370,Bouygue,697162.0,6769862.0,1,1,0
41371,41371,Bouygue,697172.0,6580590.0,1,1,1
41372,41372,SFR,697178.0,6580597.0,1,1,1
41373,41373,Free,697180.0,6536670.0,0,1,1
41374,41374,Bouygue,697199.0,6536678.0,1,1,1
41375,41375,Orange,697202.0,7051653.0,1,1,0
41376,41376,Orange,697203.0,6536681.0,1,0,0
41377,41377,Bouygue,697237.0,6519210.0,1,1,1
41378,41378,Orange,697237.0,6519210.0,0,0,0
41379,41379,Free,697242.0,6452327.0,0,1,0
